,model,obs,score
0,Unweighted Cox PH,750,0.0419578578663914
1,"Cox PH, Barlow weights",750,0.0411373511705262
2,"Cox PH, Prentice weights",750,0.0381638037311071
3,"Cox PH, Self-Prentice weights",750,0.0422968588005642
4,"Cox PH Ridge, Barlow weights",750,0.0411373511705262
5,"Cox PH Lasso, Barlow weights",750,0.0411373511705262
6,"Cox PH Elastic Net, Barlow weights",750,0.0411373511705262
7,"Survival Tree, unweighted",750,0.0828097139590129
8,"Survival Tree, random oversampler",750,0.0827335255613838
9,"Survival Tree, SMOTENC",750,0.0738260511780158
10,"Random Survival Forest, unweighted",750,0.0558963752364099
11,"Random Survival Forest, random oversampler",750,0.0473551338116722
12,"Random Survival Forest, SMOTENC",750,0.0481951900205112
13,Unweighted Cox PH,750,0.0448080163026586
14,"Cox PH, Barlow weights",750,0.0454689989807765
15,"Cox PH, Prentice weights",750,0.0430401835488185
16,"Cox PH, Self-Prentice weights",750,0.0418618544628513
17,"Cox PH Ridge, Barlow weights",750,0.0454689989807765
18,"Cox PH Lasso, Barlow weights",750,0.0454689989807765
19,"Cox PH Elastic Net, Barlow weights",750,0.0454689989807765
20,"Survival Tree, unweighted",750,0.0713812184661264
21,"Survival Tree, random oversampler",750,0.088893741422382
22,"Survival Tree, SMOTENC",750,0.0696298012253705
23,"Random Survival Forest, unweighted",750,0.0573481590195529
24,"Random Survival Forest, random oversampler",750,0.0495210193484306
25,"Random Survival Forest, SMOTENC",750,0.0503571002393442
26,Unweighted Cox PH,750,0.0461078267631792
27,"Cox PH, Barlow weights",750,0.046924445419371
28,"Cox PH, Prentice weights",750,0.0435823816230442
29,"Cox PH, Self-Prentice weights",750,0.0448418186775521
30,"Cox PH Ridge, Barlow weights",750,0.046924445419371
31,"Cox PH Lasso, Barlow weights",750,0.046924445419371
32,"Cox PH Elastic Net, Barlow weights",750,0.046924445419371
33,"Survival Tree, unweighted",750,0.098413084084967
34,"Survival Tree, random oversampler",750,0.0900835421825649
35,"Survival Tree, SMOTENC",750,0.0786497790567063
36,"Random Survival Forest, unweighted",750,0.0626973133340806
37,"Random Survival Forest, random oversampler",750,0.0570074626433481
38,"Random Survival Forest, SMOTENC",750,0.0552089685914512
39,Unweighted Cox PH,750,0.0405607981029938
40,"Cox PH, Barlow weights",750,0.034256954489105
41,"Cox PH, Prentice weights",750,0.0344590855370192
42,"Cox PH, Self-Prentice weights",750,0.0344400776958539
43,"Cox PH Ridge, Barlow weights",750,0.034256954489105
44,"Cox PH Lasso, Barlow weights",750,0.034256954489105
45,"Cox PH Elastic Net, Barlow weights",750,0.034256954489105
46,"Survival Tree, unweighted",750,0.0814359188326216
47,"Survival Tree, random oversampler",750,0.0840082435285469
48,"Survival Tree, SMOTENC",750,0.0733822523139193
49,"Random Survival Forest, unweighted",750,0.0574543679779716
50,"Random Survival Forest, random oversampler",750,0.0476811714998531
51,"Random Survival Forest, SMOTENC",750,0.046838700217059
52,Unweighted Cox PH,750,0.0406697778687295
53,"Cox PH, Barlow weights",750,0.0368055933325055
54,"Cox PH, Prentice weights",750,0.0367179555612341
55,"Cox PH, Self-Prentice weights",750,0.0387437722627193
56,"Cox PH Ridge, Barlow weights",750,0.0368055933325055
57,"Cox PH Lasso, Barlow weights",750,0.0368055933325055
58,"Cox PH Elastic Net, Barlow weights",750,0.0368055933325055
59,"Survival Tree, unweighted",750,0.0748876168952123
60,"Survival Tree, random oversampler",750,0.0711823323850013
61,"Survival Tree, SMOTENC",750,0.0624158503273091
62,"Random Survival Forest, unweighted",750,0.0565863585312839
63,"Random Survival Forest, random oversampler",750,0.0490929994670302
64,"Random Survival Forest, SMOTENC",750,0.04803949361623
65,Unweighted Cox PH,750,0.0381838393659404
66,"Cox PH, Barlow weights",750,0.0392361937593564
67,"Cox PH, Prentice weights",750,0.0360018561046729
68,"Cox PH, Self-Prentice weights",750,0.0370085360223962
69,"Cox PH Ridge, Barlow weights",750,0.0392361937593564
70,"Cox PH Lasso, Barlow weights",750,0.0392361937593564
71,"Cox PH Elastic Net, Barlow weights",750,0.0392361937593564
72,"Survival Tree, unweighted",750,0.0846104553046499
73,"Survival Tree, random oversampler",750,0.0927147768990006
74,"Survival Tree, SMOTENC",750,0.0827450616289185
75,"Random Survival Forest, unweighted",750,0.0579874230537138
76,"Random Survival Forest, random oversampler",750,0.0528654199587341
77,"Random Survival Forest, SMOTENC",750,0.0503874030896759
78,Unweighted Cox PH,750,0.0450179746202649
79,"Cox PH, Barlow weights",750,0.0452369944190315
80,"Cox PH, Prentice weights",750,0.0473628918625354
81,"Cox PH, Self-Prentice weights",750,0.0428663008936325
82,"Cox PH Ridge, Barlow weights",750,0.0452369944190315
83,"Cox PH Lasso, Barlow weights",750,0.0452369944190315
84,"Cox PH Elastic Net, Barlow weights",750,0.0452369944190315
85,"Survival Tree, unweighted",750,0.0960939143673773
86,"Survival Tree, random oversampler",750,0.1118839622955667
87,"Survival Tree, SMOTENC",750,0.0945011830704684
88,"Random Survival Forest, unweighted",750,0.0648396942073733
89,"Random Survival Forest, random oversampler",750,0.0572242517439284
90,"Random Survival Forest, SMOTENC",750,0.060326353098634
91,Unweighted Cox PH,750,0.0515324488272192
