,model,obs,score
0,Unweighted Cox PH,750,0.0757657185960215
1,"Cox PH, Barlow weights",750,0.0703513897082747
2,"Cox PH, Prentice weights",750,0.0744494507998902
3,"Cox PH, Self-Prentice weights",750,0.0919055845987053
4,"Cox PH Ridge, Barlow weights",750,0.0601022058915425
5,"Cox PH Lasso, Barlow weights",750,0.0587143458325994
6,"Cox PH Elastic Net, Barlow weights",750,0.0574978532293157
7,"Survival Tree, unweighted",750,0.1430059917766929
8,"Survival Tree, random oversampler",750,0.1291204141474104
9,"Survival Tree, SMOTENC",750,0.1550551407894778
10,"Random Survival Forest, unweighted",750,0.0785622168184822
11,"Random Survival Forest, random oversampler",750,0.0677605478936497
12,"Random Survival Forest, SMOTENC",750,0.0703223942535244
13,Unweighted Cox PH,750,0.0633629025838462
14,"Cox PH, Barlow weights",750,0.0560932941102847
15,"Cox PH, Prentice weights",750,0.0595610627884595
16,"Cox PH, Self-Prentice weights",750,0.0838697409881012
17,"Cox PH Ridge, Barlow weights",750,0.0486342216136714
18,"Cox PH Lasso, Barlow weights",750,0.0491175081177882
19,"Cox PH Elastic Net, Barlow weights",750,0.0484262889653801
20,"Survival Tree, unweighted",750,0.1460418147173676
21,"Survival Tree, random oversampler",750,0.1331295303068924
22,"Survival Tree, SMOTENC",750,0.1613988324392299
23,"Random Survival Forest, unweighted",750,0.080649743539226
24,"Random Survival Forest, random oversampler",750,0.0668316649706341
25,"Random Survival Forest, SMOTENC",750,0.069125760516188
26,Unweighted Cox PH,750,0.06640192895558
27,"Cox PH, Barlow weights",750,0.0518090916120797
28,"Cox PH, Prentice weights",750,0.0595070038978313
29,"Cox PH, Self-Prentice weights",750,0.0791110179631037
30,"Cox PH Ridge, Barlow weights",750,0.0434143528949777
31,"Cox PH Lasso, Barlow weights",750,0.0448805027779245
32,"Cox PH Elastic Net, Barlow weights",750,0.0440246735213163
33,"Survival Tree, unweighted",750,0.1475861467945636
34,"Survival Tree, random oversampler",750,0.1400653031984601
35,"Survival Tree, SMOTENC",750,0.1263951104431295
36,"Random Survival Forest, unweighted",750,0.0664717765621034
37,"Random Survival Forest, random oversampler",750,0.0500518799461392
38,"Random Survival Forest, SMOTENC",750,0.0532117844518834
39,Unweighted Cox PH,750,0.0795749164501733
40,"Cox PH, Barlow weights",750,0.0855959398573605
41,"Cox PH, Prentice weights",750,0.0886711128036989
42,"Cox PH, Self-Prentice weights",750,0.1010883160444398
43,"Cox PH Ridge, Barlow weights",750,0.0606905759049082
44,"Cox PH Lasso, Barlow weights",750,0.0607564516543196
45,"Cox PH Elastic Net, Barlow weights",750,0.0587324798539835
46,"Survival Tree, unweighted",750,0.1481883436244498
47,"Survival Tree, random oversampler",750,0.1284494549434975
48,"Survival Tree, SMOTENC",750,0.135378977141605
49,"Random Survival Forest, unweighted",750,0.0727095635950499
50,"Random Survival Forest, random oversampler",750,0.0604082903125762
51,"Random Survival Forest, SMOTENC",750,0.0640606113127106
52,Unweighted Cox PH,750,0.1018574616454851
53,"Cox PH, Barlow weights",750,0.1075024360726537
54,"Cox PH, Prentice weights",750,0.1074798858488427
55,"Cox PH, Self-Prentice weights",750,0.1424104372448856
56,"Cox PH Ridge, Barlow weights",750,0.0878450235837197
57,"Cox PH Lasso, Barlow weights",750,0.0826939343528991
58,"Cox PH Elastic Net, Barlow weights",750,0.0824063424775382
59,"Survival Tree, unweighted",750,0.1603206669905837
60,"Survival Tree, random oversampler",750,0.1704850046991339
61,"Survival Tree, SMOTENC",750,0.1515033228344691
62,"Random Survival Forest, unweighted",750,0.0883599598660008
63,"Random Survival Forest, random oversampler",750,0.0802621095186817
64,"Random Survival Forest, SMOTENC",750,0.0810592644222018
65,Unweighted Cox PH,750,0.0787216463228682
66,"Cox PH, Barlow weights",750,0.0905186931141298
67,"Cox PH, Prentice weights",750,0.0919225512402341
68,"Cox PH, Self-Prentice weights",750,0.1079396383945288
69,"Cox PH Ridge, Barlow weights",750,0.0723189938994571
70,"Cox PH Lasso, Barlow weights",750,0.0685297594539415
71,"Cox PH Elastic Net, Barlow weights",750,0.0676731635118132
72,"Survival Tree, unweighted",750,0.136334761720067
73,"Survival Tree, random oversampler",750,0.1372452205332457
74,"Survival Tree, SMOTENC",750,0.1395135928746429
75,"Random Survival Forest, unweighted",750,0.0896325079902032
76,"Random Survival Forest, random oversampler",750,0.0804815691236733
77,"Random Survival Forest, SMOTENC",750,0.0809001277197807
78,Unweighted Cox PH,750,0.093632202756923
79,"Cox PH, Barlow weights",750,0.0854530778721305
80,"Cox PH, Prentice weights",750,0.086846047579259
81,"Cox PH, Self-Prentice weights",750,0.1362729885001832
82,"Cox PH Ridge, Barlow weights",750,0.0757195524773423
83,"Cox PH Lasso, Barlow weights",750,0.0613801754193737
84,"Cox PH Elastic Net, Barlow weights",750,0.0629959882191248
85,"Survival Tree, unweighted",750,0.1590478741438463
86,"Survival Tree, random oversampler",750,0.1528686687939531
87,"Survival Tree, SMOTENC",750,0.1611334783682345
88,"Random Survival Forest, unweighted",750,0.083282961866495
89,"Random Survival Forest, random oversampler",750,0.0703543579918777
90,"Random Survival Forest, SMOTENC",750,0.0722041239527467
91,Unweighted Cox PH,750,0.0668915154878127
92,"Cox PH, Barlow weights",750,0.0632340163516867
93,"Cox PH, Prentice weights",750,0.0680440943545029
94,"Cox PH, Self-Prentice weights",750,0.0594938227261787
95,"Cox PH Ridge, Barlow weights",750,0.052043473064391
96,"Cox PH Lasso, Barlow weights",750,0.0524355276026084
97,"Cox PH Elastic Net, Barlow weights",750,0.0520698679706009
98,"Survival Tree, unweighted",750,0.1549183031585023
99,"Survival Tree, random oversampler",750,0.1474883145746755
100,"Survival Tree, SMOTENC",750,0.1089346626207482
101,"Random Survival Forest, unweighted",750,0.0821571648505997
102,"Random Survival Forest, random oversampler",750,0.0673040593291579
103,"Random Survival Forest, SMOTENC",750,0.0687770766973413
104,Unweighted Cox PH,750,0.0751212512109427
105,"Cox PH, Barlow weights",750,0.0767558539138459
106,"Cox PH, Prentice weights",750,0.0802881386768969
