model,obs,score
Unweighted Cox PH,750,0.959647627
"Cox PH, Barlow weights",750,0.961182154
"Cox PH, Prentice weights",750,0.962205172
"Cox PH, Self-Prentice weights",750,0.962659847
"Cox PH Ridge, Barlow weights",750,0.961182154
"Cox PH Lasso, Barlow weights",750,0.961182154
"Cox PH Elastic Net, Barlow weights",750,0.961182154
"Survival Tree, unweighted",750,0.899687411
"Survival Tree, random oversampler",750,0.907104291
"Survival Tree, SMOTENC",750,0.883859051
"Random Survival Forest, unweighted",750,0.950667803
"Random Survival Forest, random oversampler",750,0.946575732
"Random Survival Forest, SMOTENC",750,0.948167093
Unweighted Cox PH,750,0.975043937
"Cox PH, Barlow weights",750,0.973848858
"Cox PH, Prentice weights",750,0.973989455
"Cox PH, Self-Prentice weights",750,0.972724077
"Cox PH Ridge, Barlow weights",750,0.973848858
"Cox PH Lasso, Barlow weights",750,0.973848858
"Cox PH Elastic Net, Barlow weights",750,0.973848858
"Survival Tree, unweighted",750,0.904991213
"Survival Tree, random oversampler",750,0.875817223
"Survival Tree, SMOTENC",750,0.882144112
"Random Survival Forest, unweighted",750,0.952970123
"Random Survival Forest, random oversampler",750,0.941792619
"Random Survival Forest, SMOTENC",750,0.929279438
Unweighted Cox PH,750,0.956926331
"Cox PH, Barlow weights",750,0.956785337
"Cox PH, Prentice weights",750,0.957067325
"Cox PH, Self-Prentice weights",750,0.946845259
"Cox PH Ridge, Barlow weights",750,0.956785337
"Cox PH Lasso, Barlow weights",750,0.956785337
"Cox PH Elastic Net, Barlow weights",750,0.956785337
"Survival Tree, unweighted",750,0.89154036
"Survival Tree, random oversampler",750,0.863130067
"Survival Tree, SMOTENC",750,0.861226648
"Random Survival Forest, unweighted",750,0.914628128
"Random Survival Forest, random oversampler",750,0.906802961
"Random Survival Forest, SMOTENC",750,0.897074374
Unweighted Cox PH,750,0.953487025
"Cox PH, Barlow weights",750,0.949837813
"Cox PH, Prentice weights",750,0.951459685
"Cox PH, Self-Prentice weights",750,0.950011585
"Cox PH Ridge, Barlow weights",750,0.949837813
"Cox PH Lasso, Barlow weights",750,0.949837813
"Cox PH Elastic Net, Barlow weights",750,0.949837813
"Survival Tree, unweighted",750,0.877693466
"Survival Tree, random oversampler",750,0.865587349
"Survival Tree, SMOTENC",750,0.872914736
"Random Survival Forest, unweighted",750,0.909348934
"Random Survival Forest, random oversampler",750,0.91160797
"Random Survival Forest, SMOTENC",750,0.90523633
Unweighted Cox PH,750,0.958928068
"Cox PH, Barlow weights",750,0.958081805
"Cox PH, Prentice weights",750,0.958251058
"Cox PH, Self-Prentice weights",750,0.954414669
"Cox PH Ridge, Barlow weights",750,0.958081805
"Cox PH Lasso, Barlow weights",750,0.958081805
"Cox PH Elastic Net, Barlow weights",750,0.958081805
"Survival Tree, unweighted",750,0.898956276
"Survival Tree, random oversampler",750,0.891029619
"Survival Tree, SMOTENC",750,0.839407616
"Random Survival Forest, unweighted",750,0.940818054
"Random Survival Forest, random oversampler",750,0.929421721
"Random Survival Forest, SMOTENC",750,0.914696756
Unweighted Cox PH,750,0.962742598
"Cox PH, Barlow weights",750,0.960617651
"Cox PH, Prentice weights",750,0.961113472
"Cox PH, Self-Prentice weights",750,0.96012183
"Cox PH Ridge, Barlow weights",750,0.960617651
"Cox PH Lasso, Barlow weights",750,0.960617651
"Cox PH Elastic Net, Barlow weights",750,0.960617651
"Survival Tree, unweighted",750,0.907458564
"Survival Tree, random oversampler",750,0.822460688
"Survival Tree, SMOTENC",750,0.836768664
"Random Survival Forest, unweighted",750,0.932426689
"Random Survival Forest, random oversampler",750,0.928672617
"Random Survival Forest, SMOTENC",750,0.896373424
Unweighted Cox PH,750,0.953827386
"Cox PH, Barlow weights",750,0.956145166
"Cox PH, Prentice weights",750,0.955718207
"Cox PH, Self-Prentice weights",750,0.955718207
"Cox PH Ridge, Barlow weights",750,0.956145166
"Cox PH Lasso, Barlow weights",750,0.956145166
"Cox PH Elastic Net, Barlow weights",750,0.956145166
"Survival Tree, unweighted",750,0.895028972
"Survival Tree, random oversampler",750,0.873985971
"Survival Tree, SMOTENC",750,0.855962184
"Random Survival Forest, unweighted",750,0.918938701
"Random Survival Forest, random oversampler",750,0.905885941
"Random Survival Forest, SMOTENC",750,0.891430314
Unweighted Cox PH,750,0.968019093
"Cox PH, Barlow weights",750,0.9674821
"Cox PH, Prentice weights",750,0.967661098
"Cox PH, Self-Prentice weights",750,0.964976134
"Cox PH Ridge, Barlow weights",750,0.9674821
"Cox PH Lasso, Barlow weights",750,0.9674821
"Cox PH Elastic Net, Barlow weights",750,0.9674821
"Survival Tree, unweighted",750,0.915363962
"Survival Tree, random oversampler",750,0.874463007
"Survival Tree, SMOTENC",750,0.85152148
"Random Survival Forest, unweighted",750,0.933054893
"Random Survival Forest, random oversampler",750,0.925954654
"Random Survival Forest, SMOTENC",750,0.918138425
Unweighted Cox PH,750,0.953602484
"Cox PH, Barlow weights",750,0.93826087
"Cox PH, Prentice weights",750,0.941987578
"Cox PH, Self-Prentice weights",750,0.949751553
"Cox PH Ridge, Barlow weights",750,0.93826087
"Cox PH Lasso, Barlow weights",750,0.93826087
"Cox PH Elastic Net, Barlow weights",750,0.93826087
"Survival Tree, unweighted",750,0.880093168
"Survival Tree, random oversampler",750,0.858385093
"Survival Tree, SMOTENC",750,0.823664596
"Random Survival Forest, unweighted",750,0.913975155
"Random Survival Forest, random oversampler",750,0.905093168
"Random Survival Forest, SMOTENC",750,0.886459627
Unweighted Cox PH,750,0.958826221
"Cox PH, Barlow weights",750,0.955819881
"Cox PH, Prentice weights",750,0.95693092
"Cox PH, Self-Prentice weights",750,0.954447422
"Cox PH Ridge, Barlow weights",750,0.955819881
"Cox PH Lasso, Barlow weights",750,0.955819881
"Cox PH Elastic Net, Barlow weights",750,0.955819881
"Survival Tree, unweighted",750,0.900169924
"Survival Tree, random oversampler",750,0.899679759
"Survival Tree, SMOTENC",750,0.881739756
"Random Survival Forest, unweighted",750,0.929547088
"Random Survival Forest, random oversampler",750,0.928893536
"Random Survival Forest, SMOTENC",750,0.899483694
Unweighted Cox PH,750,0.962112289
"Cox PH, Barlow weights",750,0.962897527
"Cox PH, Prentice weights",750,0.962766654
"Cox PH, Self-Prentice weights",750,0.961850543
"Cox PH Ridge, Barlow weights",750,0.962897527
"Cox PH Lasso, Barlow weights",750,0.962897527
"Cox PH Elastic Net, Barlow weights",750,0.962897527
"Survival Tree, unweighted",750,0.914180081
"Survival Tree, random oversampler",750,0.863990315
"Survival Tree, SMOTENC",750,0.86981416
"Random Survival Forest, unweighted",750,0.932076953
"Random Survival Forest, random oversampler",750,0.930179296
"Random Survival Forest, SMOTENC",750,0.918662479
Unweighted Cox PH,750,0.949976036
"Cox PH, Barlow weights",750,0.949976036
"Cox PH, Prentice weights",750,0.950275581
"Cox PH, Self-Prentice weights",750,0.951413851
"Cox PH Ridge, Barlow weights",750,0.949976036
"Cox PH Lasso, Barlow weights",750,0.949976036
"Cox PH Elastic Net, Barlow weights",750,0.949976036
"Survival Tree, unweighted",750,0.864755572
"Survival Tree, random oversampler",750,0.866103523
"Survival Tree, SMOTENC",750,0.892643182
