,model,obs,score
0,Unweighted Cox PH,750,0.0971141858106876
1,"Cox PH, Barlow weights",750,0.0866829517753602
2,"Cox PH, Prentice weights",750,0.0937359768917599
3,"Cox PH, Self-Prentice weights",750,0.0640028208900598
4,"Cox PH Ridge, Barlow weights",750,0.0866829517753602
5,"Cox PH Lasso, Barlow weights",750,0.0866829517753602
6,"Cox PH Elastic Net, Barlow weights",750,0.0866829517753602
7,"Survival Tree, unweighted",750,0.0916265315988359
8,"Survival Tree, random oversampler",750,0.0730634154390478
9,"Survival Tree, SMOTE",750,0.0924025796239457
10,"Random Survival Forest, unweighted",750,0.0657292065859076
11,"Random Survival Forest, random oversampler",750,0.0543508197648585
12,"Random Survival Forest, SMOTE",750,0.068240759462354
13,Unweighted Cox PH,750,0.0841455695393844
14,"Cox PH, Barlow weights",750,0.0727286511103574
15,"Cox PH, Prentice weights",750,0.0703541771122489
16,"Cox PH, Self-Prentice weights",750,0.066545559516578
17,"Cox PH Ridge, Barlow weights",750,0.0727286511103574
18,"Cox PH Lasso, Barlow weights",750,0.0727286511103574
19,"Cox PH Elastic Net, Barlow weights",750,0.0727286511103574
20,"Survival Tree, unweighted",750,0.0474388569722587
21,"Survival Tree, random oversampler",750,0.0443964941134185
22,"Survival Tree, SMOTE",750,0.0560965351983225
23,"Random Survival Forest, unweighted",750,0.034643433281604
24,"Random Survival Forest, random oversampler",750,0.0342686306562596
25,"Random Survival Forest, SMOTE",750,0.0386348460961698
26,Unweighted Cox PH,750,0.0493856740020759
27,"Cox PH, Barlow weights",750,0.0619152090329884
28,"Cox PH, Prentice weights",750,0.0425477863760667
29,"Cox PH, Self-Prentice weights",750,0.0384341494876032
30,"Cox PH Ridge, Barlow weights",750,0.0619152090329884
31,"Cox PH Lasso, Barlow weights",750,0.0619152090329884
32,"Cox PH Elastic Net, Barlow weights",750,0.0619152090329884
33,"Survival Tree, unweighted",750,0.0264201775162807
34,"Survival Tree, random oversampler",750,0.0242271320064506
35,"Survival Tree, SMOTE",750,0.0257126792020682
36,"Random Survival Forest, unweighted",750,0.0216081812270726
37,"Random Survival Forest, random oversampler",750,0.0207436875743176
38,"Random Survival Forest, SMOTE",750,0.0218655808111995
39,Unweighted Cox PH,750,0.0760399379371544
40,"Cox PH, Barlow weights",750,0.0736940223730622
41,"Cox PH, Prentice weights",750,0.071377115708537
42,"Cox PH, Self-Prentice weights",750,0.0537873625076578
43,"Cox PH Ridge, Barlow weights",750,0.0736940223730622
44,"Cox PH Lasso, Barlow weights",750,0.0736940223730622
45,"Cox PH Elastic Net, Barlow weights",750,0.0736940223730622
46,"Survival Tree, unweighted",750,0.031983202161659
47,"Survival Tree, random oversampler",750,0.0296228190427286
