,model,obs,score
0,Unweighted Cox PH,750,0.098146801312716
1,"Cox PH, Barlow weights",750,0.0848791812006494
2,"Cox PH, Prentice weights",750,0.0883627619831342
3,"Cox PH, Self-Prentice weights",750,0.0780646279837395
4,"Cox PH Ridge, Barlow weights",750,0.0848791812006494
5,"Cox PH Lasso, Barlow weights",750,0.0848791812006494
6,"Cox PH Elastic Net, Barlow weights",750,0.0848791812006494
7,"Survival Tree, unweighted",750,0.0747635154313725
8,"Survival Tree, random oversampler",750,0.068462014798103
9,"Survival Tree, SMOTENC",750,0.066960463225374
10,"Random Survival Forest, unweighted",750,0.054508892508963
11,"Random Survival Forest, random oversampler",750,0.0477374558792627
12,"Random Survival Forest, SMOTENC",750,0.0557480124336431
13,Unweighted Cox PH,750,0.09796033049201
14,"Cox PH, Barlow weights",750,0.0851210992775558
15,"Cox PH, Prentice weights",750,0.0853735234819377
16,"Cox PH, Self-Prentice weights",750,0.0667869702646117
17,"Cox PH Ridge, Barlow weights",750,0.0851210992775558
18,"Cox PH Lasso, Barlow weights",750,0.0851210992775558
19,"Cox PH Elastic Net, Barlow weights",750,0.0851210992775558
20,"Survival Tree, unweighted",750,0.0884774725329539
21,"Survival Tree, random oversampler",750,0.0790139945775616
22,"Survival Tree, SMOTENC",750,0.0938426235130868
23,"Random Survival Forest, unweighted",750,0.0595908531695756
24,"Random Survival Forest, random oversampler",750,0.0568994820642963
25,"Random Survival Forest, SMOTENC",750,0.0590166831887191
26,Unweighted Cox PH,750,0.1100597087456269
27,"Cox PH, Barlow weights",750,0.0925157227049302
28,"Cox PH, Prentice weights",750,0.1008543792269814
29,"Cox PH, Self-Prentice weights",750,0.0924227029550159
30,"Cox PH Ridge, Barlow weights",750,0.0975685777778874
31,"Cox PH Lasso, Barlow weights",750,0.0925157227049302
32,"Cox PH Elastic Net, Barlow weights",750,0.0982976053274767
33,"Survival Tree, unweighted",750,0.0634365397271582
34,"Survival Tree, random oversampler",750,0.0891256763996328
35,"Survival Tree, SMOTENC",750,0.0722962576138662
36,"Random Survival Forest, unweighted",750,0.0599540681531692
37,"Random Survival Forest, random oversampler",750,0.0555653732613792
