,model,obs,score
0,Unweighted Cox PH,750,0.0472809009277382
1,"Cox PH, Barlow weights",750,0.0639461419940367
2,"Cox PH, Prentice weights",750,0.0480949959637046
3,"Cox PH, Self-Prentice weights",750,0.0550870954783398
4,"Cox PH Ridge, Barlow weights",750,0.0639461419940367
5,"Cox PH Lasso, Barlow weights",750,0.0639461419940367
6,"Cox PH Elastic Net, Barlow weights",750,0.0639461419940367
7,"Survival Tree, unweighted",750,0.1003837017045454
8,"Survival Tree, random oversampler",750,0.0938494876854969
9,"Survival Tree, SMOTENC",750,0.090050350963337
10,"Random Survival Forest, unweighted",750,0.0830213223304582
11,"Random Survival Forest, random oversampler",750,0.0702223956329006
12,"Random Survival Forest, SMOTENC",750,0.0730237707207376
13,Unweighted Cox PH,750,0.0467093738135181
14,"Cox PH, Barlow weights",750,0.0464034462379003
15,"Cox PH, Prentice weights",750,0.0470636307743624
16,"Cox PH, Self-Prentice weights",750,0.0544538337999171
17,"Cox PH Ridge, Barlow weights",750,0.0464034462379003
18,"Cox PH Lasso, Barlow weights",750,0.0464034462379003
19,"Cox PH Elastic Net, Barlow weights",750,0.0464034462379003
20,"Survival Tree, unweighted",750,0.1041496015144667
21,"Survival Tree, random oversampler",750,0.0982253406956925
22,"Survival Tree, SMOTENC",750,0.1112854252818586
23,"Random Survival Forest, unweighted",750,0.0887152271326467
24,"Random Survival Forest, random oversampler",750,0.0761220301312427
25,"Random Survival Forest, SMOTENC",750,0.0786076484630145
26,Unweighted Cox PH,750,0.0456698431669573
27,"Cox PH, Barlow weights",750,0.0545376949883863
28,"Cox PH, Prentice weights",750,0.0461596407513621
29,"Cox PH, Self-Prentice weights",750,0.0511716406444143
30,"Cox PH Ridge, Barlow weights",750,0.0545376949883863
31,"Cox PH Lasso, Barlow weights",750,0.0545376949883863
32,"Cox PH Elastic Net, Barlow weights",750,0.0545376949883863
33,"Survival Tree, unweighted",750,0.0778394678744952
34,"Survival Tree, random oversampler",750,0.1056270853529331
35,"Survival Tree, SMOTENC",750,0.0786818810417173
36,"Random Survival Forest, unweighted",750,0.0835413552725569
37,"Random Survival Forest, random oversampler",750,0.0639073711256142
38,"Random Survival Forest, SMOTENC",750,0.0662234155534064
39,Unweighted Cox PH,750,0.054555341590872
40,"Cox PH, Barlow weights",750,0.0623716149327566
41,"Cox PH, Prentice weights",750,0.0552091408131155
42,"Cox PH, Self-Prentice weights",750,0.0549320410269439
43,"Cox PH Ridge, Barlow weights",750,0.0623716149327566
44,"Cox PH Lasso, Barlow weights",750,0.0623716149327566
45,"Cox PH Elastic Net, Barlow weights",750,0.0623716149327566
46,"Survival Tree, unweighted",750,0.1132460758264841
47,"Survival Tree, random oversampler",750,0.1226882361239335
48,"Survival Tree, SMOTENC",750,0.1385361760897901
49,"Random Survival Forest, unweighted",750,0.1125530321891345
50,"Random Survival Forest, random oversampler",750,0.0922163673611225
51,"Random Survival Forest, SMOTENC",750,0.101959899880084
52,Unweighted Cox PH,750,0.0356127066655723
53,"Cox PH, Barlow weights",750,0.0541692997478641
54,"Cox PH, Prentice weights",750,0.0397556223515024
55,"Cox PH, Self-Prentice weights",750,0.0430194273854304
56,"Cox PH Ridge, Barlow weights",750,0.0541692997478641
57,"Cox PH Lasso, Barlow weights",750,0.0541692997478641
58,"Cox PH Elastic Net, Barlow weights",750,0.0541692997478641
59,"Survival Tree, unweighted",750,0.0994927718526325
60,"Survival Tree, random oversampler",750,0.0968360399823705
61,"Survival Tree, SMOTENC",750,0.1079401902734479
62,"Random Survival Forest, unweighted",750,0.087632896706037
