,model,obs,score
0,Unweighted Cox PH,375.0,0.8826832151300237
1,"Cox PH, Barlow weights",375.0,0.8661347517730497
2,"Cox PH, Prentice weights",375.0,0.8708628841607565
3,"Cox PH, Self-Prentice weights",375.0,0.8815011820330969
4,"Cox PH Ridge, Barlow weights",375.0,0.8661347517730497
5,"Cox PH Lasso, Barlow weights",375.0,0.8661347517730497
6,"Cox PH Elastic Net, Barlow weights",375.0,0.8661347517730497
7,"Survival Tree, unweighted",375.0,0.6821808510638298
8,"Survival Tree, random oversampler",375.0,0.6973995271867612
9,"Survival Tree, SMOTENC",375.0,0.743646572104019
10,"Random Survival Forest, unweighted",375.0,0.8265366430260047
11,"Random Survival Forest, random oversampler",375.0,0.8055555555555556
12,"Random Survival Forest, SMOTENC",375.0,0.7975768321513003
13,Unweighted Cox PH,375.0,0.9050632911392406
14,"Cox PH, Barlow weights",375.0,0.9045569620253164
15,"Cox PH, Prentice weights",375.0,0.9055696202531646
16,"Cox PH, Self-Prentice weights",375.0,0.8787341772151899
17,"Cox PH Ridge, Barlow weights",375.0,0.9045569620253164
18,"Cox PH Lasso, Barlow weights",375.0,0.9045569620253164
19,"Cox PH Elastic Net, Barlow weights",375.0,0.9045569620253164
20,"Survival Tree, unweighted",375.0,0.769873417721519
21,"Survival Tree, random oversampler",375.0,0.8048101265822785
22,"Survival Tree, SMOTENC",375.0,0.7648101265822784
23,"Random Survival Forest, unweighted",375.0,0.8483544303797468
24,"Random Survival Forest, random oversampler",375.0,0.8341772151898734
25,"Random Survival Forest, SMOTENC",375.0,0.8511392405063292
26,Unweighted Cox PH,375.0,0.8518993839835729
27,"Cox PH, Barlow weights",375.0,0.8547227926078029
28,"Cox PH, Prentice weights",375.0,0.8531827515400411
29,"Cox PH, Self-Prentice weights",375.0,0.8424024640657084
30,"Cox PH Ridge, Barlow weights",375.0,0.8547227926078029
31,"Cox PH Lasso, Barlow weights",375.0,0.8547227926078029
32,"Cox PH Elastic Net, Barlow weights",375.0,0.8547227926078029
33,"Survival Tree, unweighted",375.0,0.7700205338809035
34,"Survival Tree, random oversampler",375.0,0.7779774127310062
35,"Survival Tree, SMOTENC",375.0,0.8064681724845996
36,"Random Survival Forest, unweighted",375.0,0.8575462012320328
37,"Random Survival Forest, random oversampler",375.0,0.8424024640657084
38,"Random Survival Forest, SMOTENC",375.0,0.8416324435318275
39,Unweighted Cox PH,375.0,0.8654685494223363
40,"Cox PH, Barlow weights",375.0,0.8690629011553274
41,"Cox PH, Prentice weights",375.0,0.8713735558408215
42,"Cox PH, Self-Prentice weights",375.0,0.8700898587933248
43,"Cox PH Ridge, Barlow weights",375.0,0.8690629011553274
44,"Cox PH Lasso, Barlow weights",375.0,0.8690629011553274
45,"Cox PH Elastic Net, Barlow weights",375.0,0.8690629011553274
46,"Survival Tree, unweighted",375.0,0.8096277278562259
47,"Survival Tree, random oversampler",375.0,0.77201540436457
48,"Survival Tree, SMOTENC",375.0,0.769191270860077
49,"Random Survival Forest, unweighted",375.0,0.8290115532734275
50,"Random Survival Forest, random oversampler",375.0,0.8318356867779204
51,"Random Survival Forest, SMOTENC",375.0,0.7874197689345315
52,Unweighted Cox PH,375.0,0.8922029121653359
53,"Cox PH, Barlow weights",375.0,0.8320807891028652
54,"Cox PH, Prentice weights",375.0,0.8447627994363551
55,"Cox PH, Self-Prentice weights",375.0,0.8842179426961014
56,"Cox PH Ridge, Barlow weights",375.0,0.8320807891028652
57,"Cox PH Lasso, Barlow weights",375.0,0.8320807891028652
58,"Cox PH Elastic Net, Barlow weights",375.0,0.8320807891028652
59,"Survival Tree, unweighted",375.0,0.780295913574448
60,"Survival Tree, random oversampler",375.0,0.7330906528886801
61,"Survival Tree, SMOTENC",375.0,0.7794739314232034
62,"Random Survival Forest, unweighted",375.0,0.8391263503992484
63,"Random Survival Forest, random oversampler",375.0,0.8393612024424613
64,"Random Survival Forest, SMOTENC",375.0,0.828088304368248
65,Unweighted Cox PH,375.0,0.8385490753911806
66,"Cox PH, Barlow weights",375.0,0.8266951161688004
67,"Cox PH, Prentice weights",375.0,0.829302987197724
68,"Cox PH, Self-Prentice weights",375.0,0.84850640113798
69,"Cox PH Ridge, Barlow weights",375.0,0.8266951161688004
70,"Cox PH Lasso, Barlow weights",375.0,0.8266951161688004
71,"Cox PH Elastic Net, Barlow weights",375.0,0.8266951161688004
72,"Survival Tree, unweighted",375.0,0.7348269321953532
73,"Survival Tree, random oversampler",375.0,0.7170459933617829
74,"Survival Tree, SMOTENC",375.0,0.7496443812233285
75,"Random Survival Forest, unweighted",375.0,0.8181602655286866
76,"Random Survival Forest, random oversampler",375.0,0.8167377904220009
77,"Random Survival Forest, SMOTENC",375.0,0.8217164532954007
78,Unweighted Cox PH,375.0,0.8615926327193932
79,"Cox PH, Barlow weights",375.0,0.8648429035752979
80,"Cox PH, Prentice weights",375.0,0.863759479956663
81,"Cox PH, Self-Prentice weights",375.0,0.8683640303358613
82,"Cox PH Ridge, Barlow weights",375.0,0.8648429035752979
83,"Cox PH Lasso, Barlow weights",375.0,0.8648429035752979
84,"Cox PH Elastic Net, Barlow weights",375.0,0.8648429035752979
85,"Survival Tree, unweighted",375.0,0.7793878656554712
86,"Survival Tree, random oversampler",375.0,0.7727518959913326
87,"Survival Tree, SMOTENC",375.0,0.7596153846153846
88,"Random Survival Forest, unweighted",375.0,0.8426327193932828
89,"Random Survival Forest, random oversampler",375.0,0.8464247020585048
90,"Random Survival Forest, SMOTENC",375.0,0.8347778981581798
91,Unweighted Cox PH,375.0,0.9389052918464684
92,"Cox PH, Barlow weights",375.0,0.9350442879854644
93,"Cox PH, Prentice weights",375.0,0.9357256416079944
94,"Cox PH, Self-Prentice weights",375.0,0.9223256870315694
95,"Cox PH Ridge, Barlow weights",375.0,0.936861230978878
96,"Cox PH Lasso, Barlow weights",375.0,0.9350442879854644
97,"Cox PH Elastic Net, Barlow weights",375.0,0.9398137633431752
98,"Survival Tree, unweighted",375.0,0.7670906200317965
99,"Survival Tree, random oversampler",375.0,0.7945718828071769
100,"Survival Tree, SMOTENC",375.0,0.7861685214626392
101,"Random Survival Forest, unweighted",375.0,0.8864410629116511
102,"Random Survival Forest, random oversampler",375.0,0.8830342947990006
103,"Random Survival Forest, SMOTENC",375.0,0.873041108335226
104,Unweighted Cox PH,375.0,0.9041916167664672
105,"Cox PH, Barlow weights",375.0,0.9037309995393829
106,"Cox PH, Prentice weights",375.0,0.9032703823122984
107,"Cox PH, Self-Prentice weights",375.0,0.885306310456011
108,"Cox PH Ridge, Barlow weights",375.0,0.9028097650852142
109,"Cox PH Lasso, Barlow weights",375.0,0.9037309995393829
110,"Cox PH Elastic Net, Barlow weights",375.0,0.9037309995393829
111,"Survival Tree, unweighted",375.0,0.841087056655919
112,"Survival Tree, random oversampler",375.0,0.803546752648549
113,"Survival Tree, SMOTENC",375.0,0.8180561953017043
114,"Random Survival Forest, unweighted",375.0,0.889912482726854
115,"Random Survival Forest, random oversampler",375.0,0.8786273606632888
116,"Random Survival Forest, SMOTENC",375.0,0.8770152003684938
117,Unweighted Cox PH,375.0,0.8806228373702422
118,"Cox PH, Barlow weights",375.0,0.8719723183391004
119,"Cox PH, Prentice weights",375.0,0.8731257208765859
120,"Cox PH, Self-Prentice weights",375.0,0.8765859284890427
121,"Cox PH Ridge, Barlow weights",375.0,0.8719723183391004
122,"Cox PH Lasso, Barlow weights",375.0,0.8719723183391004
123,"Cox PH Elastic Net, Barlow weights",375.0,0.8719723183391004
124,"Survival Tree, unweighted",375.0,0.7360149942329873
125,"Survival Tree, random oversampler",375.0,0.7475490196078431
126,"Survival Tree, SMOTENC",375.0,0.8117070357554786
127,"Random Survival Forest, unweighted",375.0,0.850634371395617
128,"Random Survival Forest, random oversampler",375.0,0.8448673587081892
129,"Random Survival Forest, SMOTENC",375.0,0.8422722029988466
130,Unweighted Cox PH,375.0,0.8665423548215238
131,"Cox PH, Barlow weights",375.0,0.8636121470431539
132,"Cox PH, Prentice weights",375.0,0.8625466169419286
133,"Cox PH, Self-Prentice weights",375.0,0.8593500266382526
134,"Cox PH Ridge, Barlow weights",375.0,0.8636121470431539
135,"Cox PH Lasso, Barlow weights",375.0,0.8636121470431539
136,"Cox PH Elastic Net, Barlow weights",375.0,0.8636121470431539
137,"Survival Tree, unweighted",375.0,0.7669152903569526
138,"Survival Tree, random oversampler",375.0,0.7237613212573255
139,"Survival Tree, SMOTENC",375.0,0.7789025039957379
140,"Random Survival Forest, unweighted",375.0,0.8106020245071923
141,"Random Survival Forest, random oversampler",375.0,0.8023441662226958
142,"Random Survival Forest, SMOTENC",375.0,0.8151305274374001
143,Unweighted Cox PH,375.0,0.8463488843813387
144,"Cox PH, Barlow weights",375.0,0.8547160243407708
145,"Cox PH, Prentice weights",375.0,0.8547160243407708
146,"Cox PH, Self-Prentice weights",375.0,0.8564908722109533
147,"Cox PH Ridge, Barlow weights",375.0,0.8547160243407708
148,"Cox PH Lasso, Barlow weights",375.0,0.8547160243407708
149,"Cox PH Elastic Net, Barlow weights",375.0,0.8547160243407708
150,"Survival Tree, unweighted",375.0,0.709685598377282
151,"Survival Tree, random oversampler",375.0,0.7199543610547667
152,"Survival Tree, SMOTENC",375.0,0.7269269776876268
153,"Random Survival Forest, unweighted",375.0,0.8151622718052738
154,"Random Survival Forest, random oversampler",375.0,0.8336713995943205
155,"Random Survival Forest, SMOTENC",375.0,0.8288539553752535
156,Unweighted Cox PH,375.0,0.8709396119468061
157,"Cox PH, Barlow weights",375.0,0.8473948114235884
158,"Cox PH, Prentice weights",375.0,0.8491388707216045
159,"Cox PH, Self-Prentice weights",375.0,0.8402005668192719
160,"Cox PH Ridge, Barlow weights",375.0,0.8473948114235884
161,"Cox PH Lasso, Barlow weights",375.0,0.8473948114235884
162,"Cox PH Elastic Net, Barlow weights",375.0,0.8473948114235884
163,"Survival Tree, unweighted",375.0,0.7932199694789623
164,"Survival Tree, random oversampler",375.0,0.7521255722694572
165,"Survival Tree, SMOTENC",375.0,0.7783954654458252
166,"Random Survival Forest, unweighted",375.0,0.8449967298888162
167,"Random Survival Forest, random oversampler",375.0,0.8325703073904512
168,"Random Survival Forest, SMOTENC",375.0,0.8391105297580118
169,Unweighted Cox PH,375.0,0.8383573612931411
170,"Cox PH, Barlow weights",375.0,0.8442551332459589
171,"Cox PH, Prentice weights",375.0,0.8440366972477065
172,"Cox PH, Self-Prentice weights",375.0,0.8007863695937091
173,"Cox PH Ridge, Barlow weights",375.0,0.8442551332459589
174,"Cox PH Lasso, Barlow weights",375.0,0.8333333333333334
175,"Cox PH Elastic Net, Barlow weights",375.0,0.8442551332459589
176,"Survival Tree, unweighted",375.0,0.7891000436871997
177,"Survival Tree, random oversampler",375.0,0.7403888160768894
178,"Survival Tree, SMOTENC",375.0,0.7295762341633901
179,"Random Survival Forest, unweighted",375.0,0.8213193534294452
180,"Random Survival Forest, random oversampler",375.0,0.8134556574923547
181,"Random Survival Forest, SMOTENC",375.0,0.8040629095674967
182,Unweighted Cox PH,375.0,0.8876146788990825
183,"Cox PH, Barlow weights",375.0,0.8751274209989807
184,"Cox PH, Prentice weights",375.0,0.8751274209989807
185,"Cox PH, Self-Prentice weights",375.0,0.8865953109072375
186,"Cox PH Ridge, Barlow weights",375.0,0.8751274209989807
187,"Cox PH Lasso, Barlow weights",375.0,0.8751274209989807
188,"Cox PH Elastic Net, Barlow weights",375.0,0.8751274209989807
189,"Survival Tree, unweighted",375.0,0.7117737003058104
190,"Survival Tree, random oversampler",375.0,0.77217125382263
191,"Survival Tree, SMOTENC",375.0,0.6921508664627931
192,"Random Survival Forest, unweighted",375.0,0.8295107033639144
193,"Random Survival Forest, random oversampler",375.0,0.8218654434250765
194,"Random Survival Forest, SMOTENC",375.0,0.814729867482161
195,Unweighted Cox PH,375.0,0.90503925044315
196,"Cox PH, Barlow weights",375.0,0.8936439604963282
197,"Cox PH, Prentice weights",375.0,0.8936439604963282
198,"Cox PH, Self-Prentice weights",375.0,0.8850341858698405
199,"Cox PH Ridge, Barlow weights",375.0,0.8936439604963282
200,"Cox PH Lasso, Barlow weights",375.0,0.8936439604963282
201,"Cox PH Elastic Net, Barlow weights",375.0,0.8936439604963282
202,"Survival Tree, unweighted",375.0,0.7918460369713851
203,"Survival Tree, random oversampler",375.0,0.812990630539377
204,"Survival Tree, SMOTENC",375.0,0.7837427196758673
205,"Random Survival Forest, unweighted",375.0,0.8695872372752596
206,"Random Survival Forest, random oversampler",375.0,0.8569258040010129
207,"Random Survival Forest, SMOTENC",375.0,0.8612306913142568
208,Unweighted Cox PH,375.0,0.8696198554822494
209,"Cox PH, Barlow weights",375.0,0.8642789820923656
210,"Cox PH, Prentice weights",375.0,0.8671065032987747
211,"Cox PH, Self-Prentice weights",375.0,0.8611372918630223
212,"Cox PH Ridge, Barlow weights",375.0,0.8642789820923656
213,"Cox PH Lasso, Barlow weights",375.0,0.8642789820923656
214,"Cox PH Elastic Net, Barlow weights",375.0,0.8642789820923656
215,"Survival Tree, unweighted",375.0,0.7761545711592837
216,"Survival Tree, random oversampler",375.0,0.7511781338360037
217,"Survival Tree, SMOTENC",375.0,0.6795475966069745
218,"Random Survival Forest, unweighted",375.0,0.8177819666980836
219,"Random Survival Forest, random oversampler",375.0,0.7961043041156142
220,"Random Survival Forest, SMOTENC",375.0,0.7954759660697456
221,Unweighted Cox PH,375.0,0.9027777777777778
222,"Cox PH, Barlow weights",375.0,0.9001068376068376
223,"Cox PH, Prentice weights",375.0,0.9022435897435898
224,"Cox PH, Self-Prentice weights",375.0,0.904647435897436
225,"Cox PH Ridge, Barlow weights",375.0,0.9001068376068376
226,"Cox PH Lasso, Barlow weights",375.0,0.9001068376068376
227,"Cox PH Elastic Net, Barlow weights",375.0,0.9001068376068376
228,"Survival Tree, unweighted",375.0,0.8258547008547008
229,"Survival Tree, random oversampler",375.0,0.8303952991452992
230,"Survival Tree, SMOTENC",375.0,0.8095619658119658
231,"Random Survival Forest, unweighted",375.0,0.8990384615384616
232,"Random Survival Forest, random oversampler",375.0,0.8896901709401709
233,"Random Survival Forest, SMOTENC",375.0,0.8854166666666666
234,Unweighted Cox PH,375.0,0.8656577415599535
235,"Cox PH, Barlow weights",375.0,0.8449359720605355
236,"Cox PH, Prentice weights",375.0,0.8477299185098952
237,"Cox PH, Self-Prentice weights",375.0,0.8637951105937136
238,"Cox PH Ridge, Barlow weights",375.0,0.8449359720605355
239,"Cox PH Lasso, Barlow weights",375.0,0.8449359720605355
240,"Cox PH Elastic Net, Barlow weights",375.0,0.8449359720605355
241,"Survival Tree, unweighted",375.0,0.7266589057043074
242,"Survival Tree, random oversampler",375.0,0.7491268917345751
243,"Survival Tree, SMOTENC",375.0,0.6833527357392316
244,"Random Survival Forest, unweighted",375.0,0.8167636786961583
245,"Random Survival Forest, random oversampler",375.0,0.8027939464493598
246,"Random Survival Forest, SMOTENC",375.0,0.7895227008149011
247,Unweighted Cox PH,375.0,0.9085365853658536
248,"Cox PH, Barlow weights",375.0,0.90084835630965
249,"Cox PH, Prentice weights",375.0,0.9027041357370096
250,"Cox PH, Self-Prentice weights",375.0,0.8955461293743372
251,"Cox PH Ridge, Barlow weights",375.0,0.90084835630965
252,"Cox PH Lasso, Barlow weights",375.0,0.90084835630965
253,"Cox PH Elastic Net, Barlow weights",375.0,0.90084835630965
254,"Survival Tree, unweighted",375.0,0.8272799575821845
255,"Survival Tree, random oversampler",375.0,0.8226405090137858
256,"Survival Tree, SMOTENC",375.0,0.8374867444326617
257,"Random Survival Forest, unweighted",375.0,0.8822905620360552
258,"Random Survival Forest, random oversampler",375.0,0.8897136797454931
259,"Random Survival Forest, SMOTENC",375.0,0.8883881230116649
260,Unweighted Cox PH,375.0,0.8987816307403936
261,"Cox PH, Barlow weights",375.0,0.8863636363636364
262,"Cox PH, Prentice weights",375.0,0.8898781630740393
263,"Cox PH, Self-Prentice weights",375.0,0.8910496719775071
264,"Cox PH Ridge, Barlow weights",375.0,0.8863636363636364
265,"Cox PH Lasso, Barlow weights",375.0,0.8863636363636364
266,"Cox PH Elastic Net, Barlow weights",375.0,0.8863636363636364
267,"Survival Tree, unweighted",375.0,0.814784442361762
268,"Survival Tree, random oversampler",375.0,0.7927600749765699
269,"Survival Tree, SMOTENC",375.0,0.7580834114339269
270,"Random Survival Forest, unweighted",375.0,0.8451265229615745
271,"Random Survival Forest, random oversampler",375.0,0.8502811621368322
272,"Random Survival Forest, SMOTENC",375.0,0.8362230552952202
273,Unweighted Cox PH,375.0,0.8879368658399098
274,"Cox PH, Barlow weights",375.0,0.8859075535512965
275,"Cox PH, Prentice weights",375.0,0.8861330326944757
276,"Cox PH, Self-Prentice weights",375.0,0.8789177001127396
277,"Cox PH Ridge, Barlow weights",375.0,0.8879368658399098
278,"Cox PH Lasso, Barlow weights",375.0,0.8859075535512965
279,"Cox PH Elastic Net, Barlow weights",375.0,0.8859075535512965
280,"Survival Tree, unweighted",375.0,0.7854565952649379
281,"Survival Tree, random oversampler",375.0,0.8080045095828636
282,"Survival Tree, SMOTENC",375.0,0.8155580608793687
283,"Random Survival Forest, unweighted",375.0,0.867869222096956
284,"Random Survival Forest, random oversampler",375.0,0.8622322435174746
285,"Random Survival Forest, SMOTENC",375.0,0.8750845546786922
286,Unweighted Cox PH,375.0,0.9488669378268448
287,"Cox PH, Barlow weights",375.0,0.9259151656013944
288,"Cox PH, Prentice weights",375.0,0.9294015107495642
289,"Cox PH, Self-Prentice weights",375.0,0.9494479953515398
290,"Cox PH Ridge, Barlow weights",375.0,0.9259151656013944
291,"Cox PH Lasso, Barlow weights",375.0,0.9259151656013944
292,"Cox PH Elastic Net, Barlow weights",375.0,0.9259151656013944
293,"Survival Tree, unweighted",375.0,0.8779779198140616
294,"Survival Tree, random oversampler",375.0,0.8817547937245788
295,"Survival Tree, SMOTENC",375.0,0.8778326554328879
296,"Random Survival Forest, unweighted",375.0,0.9171993027309704
297,"Random Survival Forest, random oversampler",375.0,0.9029633933759442
298,"Random Survival Forest, SMOTENC",375.0,0.8927948866937827
299,Unweighted Cox PH,375.0,0.8733065730055193
300,"Cox PH, Barlow weights",375.0,0.8605117912694431
301,"Cox PH, Prentice weights",375.0,0.8640240842950326
302,"Cox PH, Self-Prentice weights",375.0,0.8652784746613146
303,"Cox PH Ridge, Barlow weights",375.0,0.8632714500752634
304,"Cox PH Lasso, Barlow weights",375.0,0.8605117912694431
305,"Cox PH Elastic Net, Barlow weights",375.0,0.8605117912694431
306,"Survival Tree, unweighted",375.0,0.754390366281987
307,"Survival Tree, random oversampler",375.0,0.7333166081284496
308,"Survival Tree, SMOTENC",375.0,0.7802308078273958
309,"Random Survival Forest, unweighted",375.0,0.8449573507275464
310,"Random Survival Forest, random oversampler",375.0,0.8507275464124435
311,"Random Survival Forest, SMOTENC",375.0,0.8364274962368289
312,Unweighted Cox PH,375.0,0.8592536939644377
313,"Cox PH, Barlow weights",375.0,0.8519909842223892
314,"Cox PH, Prentice weights",375.0,0.8559979964938642
315,"Cox PH, Self-Prentice weights",375.0,0.8682694715752567
316,"Cox PH Ridge, Barlow weights",375.0,0.8519909842223892
317,"Cox PH Lasso, Barlow weights",375.0,0.8519909842223892
318,"Cox PH Elastic Net, Barlow weights",375.0,0.8519909842223892
319,"Survival Tree, unweighted",375.0,0.75870272977711
320,"Survival Tree, random oversampler",375.0,0.8024042073628851
321,"Survival Tree, SMOTENC",375.0,0.7531930879038317
322,"Random Survival Forest, unweighted",375.0,0.823190583521162
323,"Random Survival Forest, random oversampler",375.0,0.8134234911094416
